1.71.0.0/20,"Blocked AS142404"
240e:340:5200::/39,"Blocked AS140903"
240e:340:5400::/38,"Blocked AS140903"
240e:340:5800::/37,"Blocked AS140903"
240e:340:6000::/37,"Blocked AS140903"
240e:340:6800::/39,"Blocked AS140903"
240e:340:6a00::/40,"Blocked AS140903"
240e:340:6c00::/38,"Blocked AS141771"
240e:340:7000::/37,"Blocked AS141771"
240e:340:7800::/38,"Blocked AS141771"
240e:340:cf00::/40,"Blocked AS140903"
240e:340:d000::/39,"Blocked AS140903"
240e:340:d200::/40,"Blocked AS140903"
240e:340:e000::/39,"Blocked AS140903"
240e:340:e200::/40,"Blocked AS140903"
240e:341:5200::/39,"Blocked AS140903"
240e:341:5400::/38,"Blocked AS140903"
240e:341:5800::/37,"Blocked AS140903"
240e:341:6000::/37,"Blocked AS140903"
240e:341:6800::/39,"Blocked AS140903"
240e:341:6a00::/40,"Blocked AS140903"
240e:341:6c00::/38,"Blocked AS141771"
240e:341:7000::/37,"Blocked AS141771"
240e:341:7800::/38,"Blocked AS141771"
240e:341:cf00::/40,"Blocked AS140903"
240e:341:d000::/39,"Blocked AS140903"
240e:341:d200::/40,"Blocked AS140903"
240e:341:e000::/39,"Blocked AS140903"
240e:341:e200::/40,"Blocked AS140903"
240e:342:5200::/39,"Blocked AS140903"
240e:342:5400::/38,"Blocked AS140903"
240e:342:5800::/37,"Blocked AS140903"
240e:342:6000::/37,"Blocked AS140903"
240e:342:6800::/39,"Blocked AS140903"
240e:342:6a00::/40,"Blocked AS140903"
240e:342:6c00::/38,"Blocked AS141771"
240e:342:7000::/37,"Blocked AS141771"
240e:342:7800::/38,"Blocked AS141771"
240e:342:cf00::/40,"Blocked AS140903"
240e:342:d000::/39,"Blocked AS140903"
240e:342:d200::/40,"Blocked AS140903"
240e:342:e000::/39,"Blocked AS140903"
240e:342:e200::/40,"Blocked AS140903"
240e:343:5200::/39,"Blocked AS140903"
240e:343:5400::/38,"Blocked AS140903"
240e:343:5800::/37,"Blocked AS140903"
240e:343:6000::/37,"Blocked AS140903"
240e:343:6800::/39,"Blocked AS140903"
240e:343:6a00::/40,"Blocked AS140903"
240e:343:6c00::/38,"Blocked AS141771"
240e:343:7000::/37,"Blocked AS141771"
240e:343:7800::/38,"Blocked AS141771"
240e:343:cf00::/40,"Blocked AS140903"
240e:343:d000::/39,"Blocked AS140903"
240e:343:d200::/40,"Blocked AS140903"
240e:343:e000::/39,"Blocked AS140903"
240e:343:e200::/40,"Blocked AS140903"
240e:640:600::/40,"Blocked AS140903"
240e:640:a00::/40,"Blocked AS141771"
240e:640:8600::/40,"Blocked AS140903"
240e:640:8a00::/40,"Blocked AS141771"
240e:640:c600::/40,"Blocked AS140903"
240e:640:ca00::/40,"Blocked AS141771"
240e:640:e600::/40,"Blocked AS140903"
240e:640:ea00::/40,"Blocked AS141771"
240e:804::/41,"Blocked AS140636"
240e:804:80::/43,"Blocked AS140636"
240e:804:200::/40,"Blocked AS140636"
240e:804:300::/41,"Blocked AS140636"
240e:804:380::/42,"Blocked AS140636"
240e:804:3e0::/43,"Blocked AS140636"
240e:804:500::/40,"Blocked AS140636"
240e:804:600::/40,"Blocked AS140636"
240e:804:700::/41,"Blocked AS140636"
240e:804:780::/42,"Blocked AS140636"
240e:874::/40,"Blocked AS140638"
240e:874:100::/41,"Blocked AS140638"
240e:874:180::/42,"Blocked AS140638"
240e:874:1c0::/43,"Blocked AS140638"
240e:874:200::/41,"Blocked AS140638"
240e:874:280::/42,"Blocked AS140638"
240e:874:300::/41,"Blocked AS140638"
240e:874:380::/42,"Blocked AS140638"
240e:874:500::/42,"Blocked AS140638"
240e:874:540::/43,"Blocked AS140638"
